Year,Month,Day,GHI,TRACT_FIPS
2014,7,23,0,51121020300
2014,7,23,0,51121020300
2014,7,23,0,51121020300
2014,7,23,0,51121020300
2014,7,23,0,51121020300
2014,7,23,10,51121020300
2014,7,23,156,51121020300
2014,7,23,354,51121020300
2014,7,23,553,51121020300
2014,7,23,730,51121020300
2014,7,23,859,51121020300
2014,7,23,753,51121020300
2014,7,23,500,51121020300
2014,7,23,739,51121020300
2014,7,23,845,51121020300
2014,7,23,649,51121020300
2014,7,23,426,51121020300
2014,7,23,285,51121020300
2014,7,23,135,51121020300
2014,7,23,0,51121020300
2014,7,23,0,51121020300
2014,7,23,0,51121020300
2014,7,23,0,51121020300
2014,7,23,0,51121020300
2014,7,23,0,51121020900
2014,7,23,0,51121020900
2014,7,23,0,51121020900
2014,7,23,0,51121020900
2014,7,23,0,51121020900
2014,7,23,11,51121020900
2014,7,23,157,51121020900
2014,7,23,354,51121020900
2014,7,23,552,51121020900
2014,7,23,729,51121020900
2014,7,23,859,51121020900
2014,7,23,944,51121020900
2014,7,23,868,51121020900
2014,7,23,784,51121020900
2014,7,23,674,51121020900
2014,7,23,703,51121020900
2014,7,23,515,51121020900
2014,7,23,300,51121020900
2014,7,23,103,51121020900
2014,7,23,0,51121020900
2014,7,23,0,51121020900
2014,7,23,0,51121020900
2014,7,23,0,51121020900
2014,7,23,0,51121020900
2014,7,23,0,51121020700
2014,7,23,0,51121020700
2014,7,23,0,51121020700
2014,7,23,0,51121020700
2014,7,23,0,51121020700
2014,7,23,11,51121020700
2014,7,23,156,51121020700
2014,7,23,353,51121020700
2014,7,23,551,51121020700
2014,7,23,727,51121020700
2014,7,23,856,51121020700
2014,7,23,736,51121020700
2014,7,23,708,51121020700
2014,7,23,753,51121020700
2014,7,23,842,51121020700
2014,7,23,663,51121020700
2014,7,23,428,51121020700
2014,7,23,296,51121020700
2014,7,23,113,51121020700
2014,7,23,0,51121020700
2014,7,23,0,51121020700
2014,7,23,0,51121020700
2014,7,23,0,51121020700
2014,7,23,0,51121020700
2014,7,23,0,51121021300
2014,7,23,0,51121021300
2014,7,23,0,51121021300
2014,7,23,0,51121021300
2014,7,23,0,51121021300
2014,7,23,11,51121021300
2014,7,23,158,51121021300
2014,7,23,356,51121021300
2014,7,23,554,51121021300
2014,7,23,732,51121021300
2014,7,23,861,51121021300
2014,7,23,469,51121021300
2014,7,23,811,51121021300
2014,7,23,695,51121021300
2014,7,23,705,51121021300
2014,7,23,660,51121021300
2014,7,23,478,51121021300
2014,7,23,260,51121021300
2014,7,23,73,51121021300
2014,7,23,0,51121021300
2014,7,23,0,51121021300
2014,7,23,0,51121021300
2014,7,23,0,51121021300
2014,7,23,0,51121021300
2014,7,23,0,51121020400
2014,7,23,0,51121020400
2014,7,23,0,51121020400
2014,7,23,0,51121020400
2014,7,23,0,51121020400
2014,7,23,11,51121020400
2014,7,23,156,51121020400
2014,7,23,353,51121020400
2014,7,23,552,51121020400
2014,7,23,729,51121020400
2014,7,23,858,51121020400
2014,7,23,750,51121020400
2014,7,23,498,51121020400
2014,7,23,736,51121020400
2014,7,23,843,51121020400
2014,7,23,647,51121020400
2014,7,23,424,51121020400
2014,7,23,283,51121020400
2014,7,23,134,51121020400
2014,7,23,0,51121020400
2014,7,23,0,51121020400
2014,7,23,0,51121020400
2014,7,23,0,51121020400
2014,7,23,0,51121020400
2014,7,23,0,51121020800
2014,7,23,0,51121020800
2014,7,23,0,51121020800
2014,7,23,0,51121020800
2014,7,23,0,51121020800
2014,7,23,10,51121020800
2014,7,23,156,51121020800
2014,7,23,352,51121020800
2014,7,23,550,51121020800
2014,7,23,727,51121020800
2014,7,23,855,51121020800
2014,7,23,941,51121020800
2014,7,23,711,51121020800
2014,7,23,540,51121020800
2014,7,23,842,51121020800
2014,7,23,468,51121020800
2014,7,23,497,51121020800
2014,7,23,248,51121020800
2014,7,23,116,51121020800
2014,7,23,0,51121020800
2014,7,23,0,51121020800
2014,7,23,0,51121020800
2014,7,23,0,51121020800
2014,7,23,0,51121020800
2014,7,23,0,51121020500
2014,7,23,0,51121020500
2014,7,23,0,51121020500
2014,7,23,0,51121020500
2014,7,23,0,51121020500
2014,7,23,11,51121020500
2014,7,23,157,51121020500
2014,7,23,353,51121020500
2014,7,23,552,51121020500
2014,7,23,729,51121020500
2014,7,23,857,51121020500
2014,7,23,739,51121020500
2014,7,23,710,51121020500
2014,7,23,755,51121020500
2014,7,23,843,51121020500
2014,7,23,664,51121020500
2014,7,23,429,51121020500
2014,7,23,297,51121020500
2014,7,23,113,51121020500
2014,7,23,0,51121020500
2014,7,23,0,51121020500
2014,7,23,0,51121020500
2014,7,23,0,51121020500
2014,7,23,0,51121020500
2014,7,23,0,51121020201
2014,7,23,0,51121020201
2014,7,23,0,51121020201
2014,7,23,0,51121020201
2014,7,23,0,51121020201
2014,7,23,10,51121020201
2014,7,23,155,51121020201
2014,7,23,352,51121020201
2014,7,23,551,51121020201
2014,7,23,728,51121020201
2014,7,23,857,51121020201
2014,7,23,750,51121020201
2014,7,23,499,51121020201
2014,7,23,737,51121020201
2014,7,23,844,51121020201
2014,7,23,648,51121020201
2014,7,23,425,51121020201
2014,7,23,284,51121020201
2014,7,23,135,51121020201
2014,7,23,0,51121020201
2014,7,23,0,51121020201
2014,7,23,0,51121020201
2014,7,23,0,51121020201
2014,7,23,0,51121020201
2014,7,23,0,51121020600
2014,7,23,0,51121020600
2014,7,23,0,51121020600
2014,7,23,0,51121020600
2014,7,23,0,51121020600
2014,7,23,11,51121020600
2014,7,23,156,51121020600
2014,7,23,353,51121020600
2014,7,23,551,51121020600
2014,7,23,727,51121020600
2014,7,23,856,51121020600
2014,7,23,736,51121020600
2014,7,23,708,51121020600
2014,7,23,753,51121020600
2014,7,23,842,51121020600
2014,7,23,663,51121020600
2014,7,23,428,51121020600
2014,7,23,296,51121020600
2014,7,23,113,51121020600
2014,7,23,0,51121020600
2014,7,23,0,51121020600
2014,7,23,0,51121020600
2014,7,23,0,51121020600
2014,7,23,0,51121020600
2014,7,23,0,51121020202
2014,7,23,0,51121020202
2014,7,23,0,51121020202
2014,7,23,0,51121020202
2014,7,23,0,51121020202
2014,7,23,10,51121020202
2014,7,23,156,51121020202
2014,7,23,353,51121020202
2014,7,23,551,51121020202
2014,7,23,728,51121020202
2014,7,23,857,51121020202
2014,7,23,749,51121020202
2014,7,23,498,51121020202
2014,7,23,735,51121020202
2014,7,23,844,51121020202
2014,7,23,647,51121020202
2014,7,23,424,51121020202
2014,7,23,283,51121020202
2014,7,23,135,51121020202
2014,7,23,0,51121020202
2014,7,23,0,51121020202
2014,7,23,0,51121020202
2014,7,23,0,51121020202
2014,7,23,0,51121020202
2014,7,23,0,51121021000
2014,7,23,0,51121021000
2014,7,23,0,51121021000
2014,7,23,0,51121021000
2014,7,23,0,51121021000
2014,7,23,10,51121021000
2014,7,23,156,51121021000
2014,7,23,353,51121021000
2014,7,23,552,51121021000
2014,7,23,729,51121021000
2014,7,23,858,51121021000
2014,7,23,944,51121021000
2014,7,23,631,51121021000
2014,7,23,379,51121021000
2014,7,23,846,51121021000
2014,7,23,705,51121021000
2014,7,23,504,51121021000
2014,7,23,173,51121021000
2014,7,23,119,51121021000
2014,7,23,0,51121021000
2014,7,23,0,51121021000
2014,7,23,0,51121021000
2014,7,23,0,51121021000
2014,7,23,0,51121021000
2014,7,23,0,51121021200
2014,7,23,0,51121021200
2014,7,23,0,51121021200
2014,7,23,0,51121021200
2014,7,23,0,51121021200
2014,7,23,10,51121021200
2014,7,23,155,51121021200
2014,7,23,351,51121021200
2014,7,23,549,51121021200
2014,7,23,726,51121021200
2014,7,23,855,51121021200
2014,7,23,941,51121021200
2014,7,23,826,51121021200
2014,7,23,785,51121021200
2014,7,23,673,51121021200
2014,7,23,660,51121021200
2014,7,23,420,51121021200
2014,7,23,260,51121021200
2014,7,23,117,51121021200
2014,7,23,0,51121021200
2014,7,23,0,51121021200
2014,7,23,0,51121021200
2014,7,23,0,51121021200
2014,7,23,0,51121021200
2014,7,23,0,51121021100
2014,7,23,0,51121021100
2014,7,23,0,51121021100
2014,7,23,0,51121021100
2014,7,23,0,51121021100
2014,7,23,10,51121021100
2014,7,23,156,51121021100
2014,7,23,353,51121021100
2014,7,23,551,51121021100
2014,7,23,728,51121021100
2014,7,23,858,51121021100
2014,7,23,747,51121021100
2014,7,23,677,51121021100
2014,7,23,346,51121021100
2014,7,23,845,51121021100
2014,7,23,704,51121021100
2014,7,23,488,51121021100
2014,7,23,13,51121021100
2014,7,23,126,51121021100
2014,7,23,0,51121021100
2014,7,23,0,51121021100
2014,7,23,0,51121021100
2014,7,23,0,51121021100
2014,7,23,0,51121021100
2014,7,23,0,51121021500
2014,7,23,0,51121021500
2014,7,23,0,51121021500
2014,7,23,0,51121021500
2014,7,23,0,51121021500
2014,7,23,10,51121021500
2014,7,23,155,51121021500
2014,7,23,352,51121021500
2014,7,23,550,51121021500
2014,7,23,727,51121021500
2014,7,23,857,51121021500
2014,7,23,943,51121021500
2014,7,23,446,51121021500
2014,7,23,324,51121021500
2014,7,23,847,51121021500
2014,7,23,706,51121021500
2014,7,23,498,51121021500
2014,7,23,25,51121021500
2014,7,23,107,51121021500
2014,7,23,0,51121021500
2014,7,23,0,51121021500
2014,7,23,0,51121021500
2014,7,23,0,51121021500
2014,7,23,0,51121021500
2014,7,23,0,51121021400
2014,7,23,0,51121021400
2014,7,23,0,51121021400
2014,7,23,0,51121021400
2014,7,23,0,51121021400
2014,7,23,11,51121021400
2014,7,23,157,51121021400
2014,7,23,353,51121021400
2014,7,23,551,51121021400
2014,7,23,727,51121021400
2014,7,23,856,51121021400
2014,7,23,941,51121021400
2014,7,23,871,51121021400
2014,7,23,823,51121021400
2014,7,23,842,51121021400
2014,7,23,700,51121021400
2014,7,23,481,51121021400
2014,7,23,324,51121021400
2014,7,23,102,51121021400
2014,7,23,0,51121021400
2014,7,23,0,51121021400
2014,7,23,0,51121021400
2014,7,23,0,51121021400
2014,7,23,0,51121021400
